2'ARSON', 縱火
2'ASSAULT', 攻擊
2'BATTERY', 攻擊性接觸
3'BURGLARY',竊案
7'CONCEALED CARRY LICENSE VIOLATION', 隱藏的攜帶許可證違規行為
0'CRIM SEXUAL ASSAULT', 性侵犯
2'CRIMINAL DAMAGE', 刑事毀壞
3'CRIMINAL TRESPASS', 非法入侵
4'DECEPTIVE PRACTICE', 欺騙行為
4'GAMBLING', 賭博
2'HOMICIDE', 殺人
0'HUMAN TRAFFICKING', 人口販運
1'INTERFERENCE WITH PUBLIC OFFICER', 與公職人員的干涉
0'INTIMIDATION', 恐嚇
0'KIDNAPPING', 綁架
2'LIQUOR LAW VIOLATION', 酒違法
3'MOTOR VEHICLE THEFT', 機動車盜竊
7'NARCOTICS', 毒品
1'NON - CRIMINAL', 非刑事犯罪
1'NON-CRIMINAL', 非刑事犯罪
1'NON-CRIMINAL (SUBJECT SPECIFIED)', 非刑事罪行（指明的主題）
0'OBSCENITY', 猥褻
0'OFFENSE INVOLVING CHILDREN', 涉及兒童的違法行為
1'OTHER NARCOTIC VIOLATION', 其他麻煩的違法行為
1'OTHER OFFENSE', 其他違法行為
0'PROSTITUTION', 賣淫
6'PUBLIC INDECENCY', 公眾意識
6'PUBLIC PEACE VIOLATION', 公共和平的違法行為
2'ROBBERY', 搶劫
0'SEX OFFENSE', 性犯罪
0'STALKING', 纏擾行為
3'THEFT', 盜竊
7'WEAPONS VIOLATION', 武器違規
