Latitude,Longitude,Type,Second Type,Root Type
41.941562,-87.664011,Pub,Bar,Nightlife Spot
41.939824,-87.663895,Asian Restaurant,Asian Restaurant,Food
41.935361,-87.662638,Steakhouse,Steakhouse,Food
41.919532,-87.677331,Bar,Bar,Nightlife Spot
41.938006,-87.671027,Bar,Bar,Nightlife Spot
41.893317,-87.630763,Steakhouse,Steakhouse,Food
41.903932,-87.629129,Nightclub,Nightclub,Nightlife Spot
41.893575,-87.622815,Italian Restaurant,Italian Restaurant,Food
41.883210,-87.628228,New American Restaurant,American Restaurant,Food
41.940341,-87.669183,Bar,Bar,Nightlife Spot
41.870677,-87.624309,Sushi Restaurant,Asian Restaurant,Food
41.934409,-87.646246,Salon / Barbershop,Salon / Barbershop,Shop & Service
41.954299,-87.674490,Cuban Restaurant,Caribbean Restaurant,Food
41.896849,-87.625524,American Restaurant,American Restaurant,Food
41.953464,-87.668847,Bar,Bar,Nightlife Spot
41.954522,-87.669727,Bar,Bar,Nightlife Spot
41.915973,-87.669939,American Restaurant,American Restaurant,Food
41.918354,-87.653318,Sushi Restaurant,Asian Restaurant,Food
41.891224,-87.656972,Bar,Bar,Nightlife Spot
41.954214,-87.675591,Dive Bar,Bar,Nightlife Spot
41.950053,-87.658886,Dive Bar,Bar,Nightlife Spot
41.705663,-87.718573,American Restaurant,American Restaurant,Food
41.691476,-87.702696,Dive Bar,Bar,Nightlife Spot
41.947284,-87.661694,Bar,Bar,Nightlife Spot
41.698918,-87.720626,Bar,Bar,Nightlife Spot
41.899680,-87.673410,Bar,Bar,Nightlife Spot
41.951991,-87.677178,Rock Club,Music Venue,Arts & Entertainment
41.949825,-87.658679,Music Venue,Music Venue,Arts & Entertainment
41.950065,-87.649486,Sports Bar,Bar,Nightlife Spot
41.948504,-87.649411,Cocktail Bar,Bar,Nightlife Spot
41.895937,-87.682606,Nightclub,Nightclub,Nightlife Spot
41.961515,-87.675534,Gay Bar,Bar,Nightlife Spot
41.907000,-87.672139,Piano Bar,Music Venue,Arts & Entertainment
41.949837,-87.658660,Nightclub,Nightclub,Nightlife Spot
41.909878,-87.677349,Music Venue,Music Venue,Arts & Entertainment
41.910548,-87.660928,Rock Club,Music Venue,Arts & Entertainment
41.903150,-87.672048,Bar,Bar,Nightlife Spot
41.901306,-87.674364,Bar,Bar,Nightlife Spot
41.949278,-87.658356,Bar,Bar,Nightlife Spot
41.931533,-87.648900,Bar,Bar,Nightlife Spot
41.913463,-87.662426,Bar,Bar,Nightlife Spot
41.918792,-87.648630,Sports Bar,Bar,Nightlife Spot
41.944706,-87.649377,Gay Bar,Bar,Nightlife Spot
41.901331,-87.676028,Bar,Bar,Nightlife Spot
41.942697,-87.644569,Gay Bar,Bar,Nightlife Spot
41.927085,-87.663635,Dive Bar,Bar,Nightlife Spot
41.943492,-87.649178,Gay Bar,Bar,Nightlife Spot
41.944838,-87.654185,Bar,Bar,Nightlife Spot
41.934126,-87.660875,Rock Club,Music Venue,Arts & Entertainment
41.915828,-87.676295,Pub,Bar,Nightlife Spot
41.945421,-87.655143,Rock Club,Music Venue,Arts & Entertainment
41.917798,-87.671694,Bar,Bar,Nightlife Spot
41.936842,-87.644440,Bar,Bar,Nightlife Spot
41.895763,-87.654982,Bar,Bar,Nightlife Spot
41.794515,-87.620072,Lounge,Lounge,Nightlife Spot
41.932220,-87.658226,Whisky Bar,Bar,Nightlife Spot
41.933274,-87.649218,Bar,Bar,Nightlife Spot
41.920035,-87.641351,Pub,Bar,Nightlife Spot
41.927980,-87.641856,Bar,Bar,Nightlife Spot
41.941624,-87.658867,Sports Bar,Bar,Nightlife Spot
41.777105,-87.761562,Sports Bar,Bar,Nightlife Spot
41.945351,-87.649612,Gay Bar,Bar,Nightlife Spot
41.918267,-87.638575,Bar,Bar,Nightlife Spot
41.902743,-87.677283,Dive Bar,Bar,Nightlife Spot
41.797957,-87.748200,Dive Bar,Bar,Nightlife Spot
41.890276,-87.647869,Nightclub,Nightclub,Nightlife Spot
41.921801,-87.648801,Bar,Bar,Nightlife Spot
41.778167,-87.762767,Nightclub,Nightclub,Nightlife Spot
41.943768,-87.645191,Dive Bar,Bar,Nightlife Spot
41.788281,-87.741998,Airport Food Court,Airport,Travel & Transport
41.935599,-87.647402,Dive Bar,Bar,Nightlife Spot
41.947312,-87.647093,Bar,Bar,Nightlife Spot
41.881188,-87.630175,Italian Restaurant,Italian Restaurant,Food
41.943349,-87.664290,Bar,Bar,Nightlife Spot
41.878791,-87.625866,Pub,Bar,Nightlife Spot
41.932372,-87.648871,Pub,Bar,Nightlife Spot
41.927538,-87.651458,Bar,Bar,Nightlife Spot
41.873115,-87.626113,Jazz Club,Music Venue,Arts & Entertainment
41.936385,-87.664160,Bar,Bar,Nightlife Spot
41.923741,-87.646294,Bar,Bar,Nightlife Spot
41.873715,-87.629313,Bar,Bar,Nightlife Spot
41.891240,-87.658631,Burger Joint,Burger Joint,Food
41.945540,-87.649305,Gay Bar,Bar,Nightlife Spot
41.872055,-87.624275,Pub,Bar,Nightlife Spot
41.939820,-87.649150,Gay Bar,Bar,Nightlife Spot
41.921703,-87.652942,Pub,Bar,Nightlife Spot
41.923316,-87.645821,Bar,Bar,Nightlife Spot
41.777869,-87.773757,Dive Bar,Bar,Nightlife Spot
41.876865,-87.630954,Dive Bar,Bar,Nightlife Spot
41.918163,-87.652904,Bar,Bar,Nightlife Spot
41.903306,-87.671413,Dive Bar,Bar,Nightlife Spot
41.937153,-87.644154,Bar,Bar,Nightlife Spot
41.873189,-87.627452,Bar,Bar,Nightlife Spot
41.928645,-87.649059,Music Venue,Music Venue,Arts & Entertainment
41.909861,-87.652195,Nightclub,Nightclub,Nightlife Spot
41.869290,-87.627246,Lounge,Lounge,Nightlife Spot
41.925111,-87.669911,Dive Bar,Bar,Nightlife Spot
41.944779,-87.654124,Dive Bar,Bar,Nightlife Spot
41.927555,-87.651646,Bar,Bar,Nightlife Spot
41.939916,-87.654422,Bar,Bar,Nightlife Spot
41.883593,-87.635645,Dive Bar,Bar,Nightlife Spot
41.921723,-87.656112,Pub,Bar,Nightlife Spot
41.936477,-87.648947,Dive Bar,Bar,Nightlife Spot
41.885570,-87.634292,Pub,Bar,Nightlife Spot
41.877903,-87.649791,Bar,Bar,Nightlife Spot
41.928830,-87.662197,Bar,Bar,Nightlife Spot
41.917520,-87.648754,Gay Bar,Bar,Nightlife Spot
41.918216,-87.648423,Bar,Bar,Nightlife Spot
41.943583,-87.649400,Gay Bar,Bar,Nightlife Spot
41.939729,-87.663457,Music Venue,Music Venue,Arts & Entertainment
41.948767,-87.658019,Bar,Bar,Nightlife Spot
41.941589,-87.654371,Bar,Bar,Nightlife Spot
41.934352,-87.666115,Dive Bar,Bar,Nightlife Spot
41.943262,-87.649218,Gay Bar,Bar,Nightlife Spot
41.869530,-87.652750,Bar,Bar,Nightlife Spot
41.918477,-87.637495,Music Venue,Music Venue,Arts & Entertainment
41.946654,-87.656271,Sports Bar,Bar,Nightlife Spot
41.940136,-87.649387,Gay Bar,Bar,Nightlife Spot
41.927044,-87.668330,Bar,Bar,Nightlife Spot
41.943053,-87.649484,Pub,Bar,Nightlife Spot
41.924606,-87.639860,Dive Bar,Bar,Nightlife Spot
41.937340,-87.659122,Sports Bar,Bar,Nightlife Spot
41.918182,-87.639849,Bar,Bar,Nightlife Spot
41.997803,-87.687057,Bar,Bar,Nightlife Spot
41.839205,-87.654382,Bar,Bar,Nightlife Spot
41.930223,-87.655514,Bar,Bar,Nightlife Spot
41.911548,-87.634951,Comedy Club,Comedy Club,Arts & Entertainment
41.968239,-87.727091,Strip Club,Strip Club,Nightlife Spot
41.830767,-87.651054,Liquor Store,Food & Drink Shop,Shop & Service
41.975984,-87.687078,Bar,Bar,Nightlife Spot
41.983459,-87.670082,Bar,Bar,Nightlife Spot
41.964669,-87.686120,Bar,Bar,Nightlife Spot
41.917972,-87.653311,Mexican Restaurant,Mexican Restaurant,Food
41.970505,-87.679097,Dive Bar,Bar,Nightlife Spot
41.966437,-87.687117,Bar,Bar,Nightlife Spot
41.978801,-87.692816,Karaoke Bar,Bar,Nightlife Spot
41.994560,-87.659801,Gay Bar,Bar,Nightlife Spot
41.921779,-87.666296,Wine Bar,Bar,Nightlife Spot
41.925448,-87.675491,General Entertainment,General Entertainment,Arts & Entertainment
41.970552,-87.690111,Bowling Alley,Bowling Alley,Arts & Entertainment
41.917565,-87.658385,Beer Garden,Bar,Nightlife Spot
41.989436,-87.660413,Beer Garden,Bar,Nightlife Spot
41.795283,-87.582075,Dive Bar,Bar,Nightlife Spot
41.862798,-87.686185,Bar,Bar,Nightlife Spot
41.993971,-87.660355,Bar,Bar,Nightlife Spot
41.795213,-87.596806,Dive Bar,Bar,Nightlife Spot
41.974013,-87.655196,Gay Bar,Bar,Nightlife Spot
41.976114,-87.675529,Dive Bar,Bar,Nightlife Spot
41.966953,-87.666934,Rock Club,Music Venue,Arts & Entertainment
41.969175,-87.659826,Jazz Club,Music Venue,Arts & Entertainment
41.878232,-87.647363,Greek Restaurant,Greek Restaurant,Food
41.852927,-87.624459,Bar,Bar,Nightlife Spot
41.978184,-87.657743,Dive Bar,Bar,Nightlife Spot
41.851956,-87.631973,Chinese Restaurant,Asian Restaurant,Food
41.981372,-87.674333,Beer Garden,Bar,Nightlife Spot
41.968768,-87.660143,Concert Hall,Concert Hall,Arts & Entertainment
41.976556,-87.668518,Bar,Bar,Nightlife Spot
41.732545,-87.585757,Nightclub,Nightclub,Nightlife Spot
41.814244,-87.640802,Bar,Bar,Nightlife Spot
41.911647,-87.677566,Sports Bar,Bar,Nightlife Spot
41.958255,-87.752347,Nightclub,Nightclub,Nightlife Spot
41.904381,-87.628734,Lounge,Lounge,Nightlife Spot
41.953528,-87.754884,Bar,Bar,Nightlife Spot
41.827187,-87.646178,Bar,Bar,Nightlife Spot
41.960129,-87.728519,Bar,Bar,Nightlife Spot
41.939759,-87.680893,Music Venue,Music Venue,Arts & Entertainment
41.890139,-87.631020,Lounge,Lounge,Nightlife Spot
41.940873,-87.687747,Bar,Bar,Nightlife Spot
41.891927,-87.631041,Jazz Club,Music Venue,Arts & Entertainment
41.903912,-87.629361,Bar,Bar,Nightlife Spot
41.959601,-87.688575,Pub,Bar,Nightlife Spot
41.889976,-87.631080,Bar,Bar,Nightlife Spot
41.950254,-87.707791,Karaoke Bar,Bar,Nightlife Spot
41.895662,-87.634146,Pub,Bar,Nightlife Spot
41.909016,-87.634463,Bar,Bar,Nightlife Spot
41.903905,-87.629602,Bar,Bar,Nightlife Spot
41.896345,-87.630947,Pub,Bar,Nightlife Spot
41.895932,-87.631103,Bar,Bar,Nightlife Spot
41.704968,-87.681802,Bar,Bar,Nightlife Spot
41.892135,-87.633954,French Restaurant,French Restaurant,Food
41.939349,-87.686528,Dive Bar,Bar,Nightlife Spot
41.893475,-87.630363,Nightclub,Nightclub,Nightlife Spot
41.700396,-87.681599,Bar,Bar,Nightlife Spot
41.695180,-87.681430,Bar,Bar,Nightlife Spot
41.891047,-87.647330,Pub,Bar,Nightlife Spot
41.893333,-87.629979,Nightclub,Nightclub,Nightlife Spot
41.954023,-87.681981,German Restaurant,German Restaurant,Food
41.710760,-87.682113,Sports Bar,Bar,Nightlife Spot
41.891676,-87.631019,Pub,Bar,Nightlife Spot
41.700301,-87.681599,Pub,Bar,Nightlife Spot
41.690743,-87.681350,Bar,Bar,Nightlife Spot
41.890519,-87.631149,Mexican Restaurant,Mexican Restaurant,Food
41.891186,-87.647057,Bar,Bar,Nightlife Spot
41.903283,-87.629163,Bar,Bar,Nightlife Spot
41.961128,-87.702383,Pub,Bar,Nightlife Spot
41.887966,-87.628908,Music Venue,Music Venue,Arts & Entertainment
41.943315,-87.678553,Sports Bar,Bar,Nightlife Spot
41.903911,-87.629101,Office,Office,Professional & Other Places
41.903854,-87.629582,Bar,Bar,Nightlife Spot
41.970411,-87.728355,Dive Bar,Bar,Nightlife Spot
41.901788,-87.628488,Steakhouse,Steakhouse,Food
41.954249,-87.680267,Beer Garden,Bar,Nightlife Spot
41.911133,-87.637110,Bar,Bar,Nightlife Spot
41.911043,-87.635623,Dive Bar,Bar,Nightlife Spot
41.893090,-87.633486,Nightclub,Nightclub,Nightlife Spot
41.907750,-87.634513,Italian Restaurant,Italian Restaurant,Food
41.891082,-87.634141,Pub,Bar,Nightlife Spot
41.942702,-87.680726,Beer Garden,Bar,Nightlife Spot
41.954065,-87.685897,Pub,Bar,Nightlife Spot
41.905939,-87.628556,American Restaurant,American Restaurant,Food
41.893315,-87.628801,Piano Bar,Music Venue,Arts & Entertainment
41.758139,-87.621909,Bar,Bar,Nightlife Spot
41.891102,-87.647079,Dive Bar,Bar,Nightlife Spot
41.891344,-87.628284,American Restaurant,American Restaurant,Food
41.905374,-87.634320,Mexican Restaurant,Mexican Restaurant,Food
41.744078,-87.606915,Lounge,Lounge,Nightlife Spot
41.889190,-87.634402,Bar,Bar,Nightlife Spot
41.903850,-87.629431,Bar,Bar,Nightlife Spot
41.920009,-87.680221,Dive Bar,Bar,Nightlife Spot
41.893525,-87.635425,Nightclub,Nightclub,Nightlife Spot
41.760315,-87.597462,Jazz Club,Music Venue,Arts & Entertainment
41.917342,-87.707801,Liquor Store,Food & Drink Shop,Shop & Service
41.893660,-87.635717,Nightclub,Nightclub,Nightlife Spot
41.901962,-87.628530,Sports Bar,Bar,Nightlife Spot
41.910537,-87.677956,Bar,Bar,Nightlife Spot
41.925055,-87.694462,Bowling Alley,Bowling Alley,Arts & Entertainment
41.918369,-87.685134,Rock Club,Music Venue,Arts & Entertainment
41.910515,-87.634798,Comedy Club,Comedy Club,Arts & Entertainment
41.890048,-87.627356,Jazz Club,Music Venue,Arts & Entertainment
41.758427,-87.608386,Lounge,Lounge,Nightlife Spot
41.900926,-87.627283,Jazz Club,Music Venue,Arts & Entertainment
41.893205,-87.622662,Steakhouse,Steakhouse,Food
41.910294,-87.693849,Bar,Bar,Nightlife Spot
41.899914,-87.623471,Whisky Bar,Bar,Nightlife Spot
41.917680,-87.679983,Bar,Bar,Nightlife Spot
41.925845,-87.687954,Dive Bar,Bar,Nightlife Spot
41.911586,-87.677470,Bar,Bar,Nightlife Spot
41.924999,-87.687464,Pub,Bar,Nightlife Spot
41.900078,-87.627130,Vietnamese Restaurant,Asian Restaurant,Food
41.806278,-87.723684,Nightclub,Nightclub,Nightlife Spot
41.917414,-87.712780,Rock Club,Music Venue,Arts & Entertainment
41.792994,-87.728226,Bar,Bar,Nightlife Spot
41.925054,-87.700947,Dive Bar,Bar,Nightlife Spot
41.921470,-87.678914,Bar,Bar,Nightlife Spot
41.918805,-87.687342,Bar,Bar,Nightlife Spot
41.892586,-87.623257,Gay Bar,Bar,Nightlife Spot
41.735627,-87.669602,Bar,Bar,Nightlife Spot
41.901467,-87.628074,Bar,Bar,Nightlife Spot
41.881131,-87.693913,Sports Bar,Bar,Nightlife Spot
41.869150,-87.685952,Sports Bar,Bar,Nightlife Spot
41.740524,-87.721383,Bar,Bar,Nightlife Spot
41.948835,-87.658231,Bar,Bar,Nightlife Spot
41.949217,-87.649594,Bar,Bar,Nightlife Spot
41.937933,-87.819298,Bar,Bar,Nightlife Spot
41.949932,-87.649057,Gay Bar,Bar,Nightlife Spot
41.948578,-87.649353,Gay Bar,Bar,Nightlife Spot
41.800861,-87.588828,Jazz Club,Music Venue,Arts & Entertainment
41.946999,-87.656710,Sports Bar,Bar,Nightlife Spot
41.950401,-87.807384,Bar,Bar,Nightlife Spot
41.950129,-87.664154,Bar,Bar,Nightlife Spot
41.911247,-87.668856,Jazz Club,Music Venue,Arts & Entertainment
41.913562,-87.654101,Brewery,Brewery,Nightlife Spot
41.953736,-87.726418,Bar,Bar,Nightlife Spot
41.890259,-87.644765,Pool Hall,Pool Hall,Arts & Entertainment
41.901221,-87.631303,Arcade,Arcade,Arts & Entertainment
41.924911,-87.640611,Nightclub,Nightclub,Nightlife Spot
41.943886,-87.653901,Diner,Diner,Food
41.940100,-87.652670,Diner,Diner,Food
41.926186,-87.649844,Bar,Bar,Nightlife Spot
41.895870,-87.676805,Coffee Shop,Coffee Shop,Food
41.903285,-87.675702,Caf,,
