datetime,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
2016-01-01 01:00:00,79.0,1026.0,269.01,sky is clear,260.0,5.0
2016-01-01 02:00:00,89.0,1032.0,268.8315,sky is clear,257.0,6.0
2016-01-01 03:00:00,79.0,1026.0,268.31,scattered clouds,260.0,4.0
2016-01-01 04:00:00,73.0,1025.0,268.59,overcast clouds,240.0,2.0
2016-01-01 05:00:00,73.0,1025.0,268.587474786,overcast clouds,240.0,2.0
2016-01-01 06:00:00,73.0,1023.0,268.32,broken clouds,260.0,5.0
2016-01-01 07:00:00,73.0,1024.0,267.47,sky is clear,270.0,6.0
2016-01-01 08:00:00,75.0,1025.0,267.40504830099997,sky is clear,269.0,6.0
2016-01-01 09:00:00,62.0,1023.0,267.03,sky is clear,250.0,5.0
2016-01-01 10:00:00,67.0,1023.0,266.37,broken clouds,270.0,6.0
2016-01-01 11:00:00,73.0,1023.0,266.79,haze,270.0,6.0
2016-01-01 12:00:00,73.0,1023.0,267.15,mist,270.0,5.0
2016-01-01 13:00:00,67.0,1023.0,267.82,light snow,270.0,6.0
2016-01-01 14:00:00,73.0,1023.0,268.59,overcast clouds,270.0,7.0
2016-01-01 15:00:00,68.0,1023.0,268.86,light snow,270.0,6.0
2016-01-01 16:00:00,79.0,1024.0,269.45,light snow,280.0,6.0
2016-01-01 17:00:00,73.0,1023.0,269.79,overcast clouds,270.0,8.0
2016-01-01 18:00:00,73.0,1022.0,269.791797135,overcast clouds,269.0,8.0
2016-01-01 19:00:00,74.0,1022.0,270.48,haze,260.0,8.0
2016-01-01 20:00:00,68.0,1021.0,270.64,broken clouds,230.0,8.0
2016-01-01 21:00:00,74.0,1021.0,271.04,sky is clear,240.0,6.0
2016-01-01 22:00:00,74.0,1021.0,271.037958403,sky is clear,240.0,6.0
2016-01-01 23:00:00,87.0,1028.0,270.425479201,few clouds,241.0,6.0
2016-01-02 00:00:00,74.0,1021.0,271.24,sky is clear,230.0,6.0
2016-01-02 01:00:00,74.0,1020.0,271.472790987,sky is clear,234.0,6.0
2016-01-02 02:00:00,74.0,1020.0,271.71,sky is clear,240.0,6.0
2016-01-02 03:00:00,74.0,1020.0,271.38,broken clouds,210.0,4.0
2016-01-02 04:00:00,74.0,1020.0,271.371111268,broken clouds,210.0,4.0
2016-01-02 05:00:00,74.0,1020.0,270.47,sky is clear,270.0,5.0
2016-01-02 06:00:00,73.0,1020.0,269.95,sky is clear,270.0,5.0
2016-01-02 07:00:00,72.0,1020.0,269.950016956,sky is clear,270.0,5.0
2016-01-02 08:00:00,68.0,1020.0,269.99,broken clouds,270.0,3.0
2016-01-02 09:00:00,68.0,1020.0,269.32,broken clouds,280.0,3.0
2016-01-02 10:00:00,85.0,1020.0,268.6,sky is clear,270.0,4.0
2016-01-02 11:00:00,85.0,1020.0,267.99,sky is clear,270.0,4.0
2016-01-02 12:00:00,73.0,1020.0,267.43,few clouds,250.0,3.0
2016-01-02 13:00:00,85.0,1020.0,266.81,sky is clear,270.0,3.0
2016-01-02 14:00:00,85.0,1021.0,267.59,sky is clear,250.0,3.0
2016-01-02 15:00:00,73.0,1020.0,268.73,sky is clear,230.0,3.0
2016-01-02 16:00:00,73.0,1021.0,270.9,light snow,240.0,6.0
2016-01-02 17:00:00,73.0,1021.0,270.87076638599996,light snow,240.0,6.0
2016-01-02 18:00:00,74.0,1019.0,271.89,light snow,250.0,4.0
2016-01-02 19:00:00,74.0,1017.0,273.02,light snow,230.0,5.0
2016-01-02 20:00:00,76.0,1018.0,272.892061475,light snow,230.0,5.0
2016-01-02 21:00:00,100.0,1017.0,273.59,light rain,230.0,4.0
2016-01-02 22:00:00,100.0,1016.0,272.84,sky is clear,230.0,5.0
2016-01-02 23:00:00,100.0,1016.0,272.832566132,sky is clear,230.0,5.0
2016-01-03 00:00:00,89.0,1015.0,272.46442843299997,sky is clear,230.0,6.0
2016-01-03 01:00:00,80.0,1015.0,272.09,sky is clear,230.0,8.0
2016-01-03 02:00:00,89.0,1022.0,271.705660275,sky is clear,246.0,8.0
2016-01-03 03:00:00,80.0,1015.0,271.79,sky is clear,260.0,7.0
2016-01-03 04:00:00,100.0,1014.0,270.82,sky is clear,250.0,6.0
2016-01-03 05:00:00,63.0,1015.0,270.56,sky is clear,270.0,6.0
2016-01-03 06:00:00,63.0,1015.0,269.69,sky is clear,280.0,4.0
2016-01-03 07:00:00,68.0,1015.0,269.13,sky is clear,270.0,5.0
2016-01-03 08:00:00,73.0,1015.0,268.72,sky is clear,280.0,3.0
2016-01-03 09:00:00,72.0,1015.0,268.718857341,sky is clear,280.0,3.0
2016-01-03 10:00:00,84.0,1023.0,268.94904025,sky is clear,303.0,5.0
2016-01-03 11:00:00,68.0,1017.0,268.17,sky is clear,300.0,5.0
2016-01-03 12:00:00,76.0,1017.0,268.471162005,scattered clouds,304.0,4.0
2016-01-03 13:00:00,85.0,1018.0,268.79,broken clouds,310.0,4.0
2016-01-03 14:00:00,92.0,1025.0,270.115766085,scattered clouds,324.0,5.0
2016-01-03 15:00:00,79.0,1020.0,270.15,overcast clouds,330.0,3.0
2016-01-03 16:00:00,76.0,1020.0,270.87652119999996,overcast clouds,334.0,4.0
2016-01-03 17:00:00,74.0,1021.0,271.66,overcast clouds,340.0,5.0
2016-01-03 18:00:00,68.0,1021.0,272.13,overcast clouds,330.0,6.0
2016-01-03 19:00:00,68.0,1021.0,272.100402299,overcast clouds,331.0,6.0
2016-01-03 20:00:00,68.0,1022.0,271.88,overcast clouds,340.0,5.0
2016-01-03 21:00:00,68.0,1022.0,271.763159722,overcast clouds,340.0,5.0
2016-01-03 22:00:00,68.0,1023.0,271.63,overcast clouds,340.0,5.0
2016-01-03 23:00:00,83.0,1029.0,271.411625269,broken clouds,333.0,6.0
2016-01-04 00:00:00,74.0,1024.0,271.12,light snow,350.0,5.0
2016-01-04 01:00:00,64.0,1024.0,271.024693906,overcast clouds,340.0,5.0
2016-01-04 02:00:00,54.0,1025.0,270.91,light snow,330.0,6.0
2016-01-04 03:00:00,54.0,1025.0,270.78882402200003,overcast clouds,316.0,6.0
2016-01-04 04:00:00,54.0,1025.0,270.65,light snow,300.0,6.0
2016-01-04 05:00:00,58.0,1025.0,270.24,light snow,290.0,7.0
2016-01-04 06:00:00,58.0,1025.0,270.23957803,overcast clouds,290.0,7.0
2016-01-04 07:00:00,79.0,1032.0,269.666616226,broken clouds,310.0,6.0
2016-01-04 08:00:00,58.0,1025.0,269.63,overcast clouds,300.0,6.0
2016-01-04 09:00:00,73.0,1027.0,269.48,overcast clouds,330.0,3.0
2016-01-04 10:00:00,73.0,1027.0,269.482958398,overcast clouds,330.0,3.0
2016-01-04 11:00:00,73.0,1027.0,269.8,overcast clouds,340.0,5.0
2016-01-04 12:00:00,68.0,1028.0,270.08,broken clouds,320.0,5.0
2016-01-04 13:00:00,73.0,1029.0,269.72,light snow,340.0,4.0
2016-01-04 14:00:00,68.0,1029.0,270.05,light snow,340.0,6.0
2016-01-04 15:00:00,68.0,1031.0,270.97,fog,350.0,7.0
2016-01-04 16:00:00,68.0,1031.0,271.31,fog,350.0,5.0
2016-01-04 17:00:00,63.0,1031.0,271.96,mist,30.0,5.0
2016-01-04 18:00:00,63.0,1031.0,271.96299140400004,broken clouds,30.0,5.0
2016-01-04 19:00:00,63.0,1031.0,272.32,light snow,40.0,5.0
2016-01-04 20:00:00,65.0,1032.0,272.268959257,light snow,40.0,5.0
2016-01-04 21:00:00,63.0,1031.0,271.95,light snow,30.0,3.0
2016-01-04 22:00:00,63.0,1031.0,271.77491831,broken clouds,30.0,3.0
2016-01-04 23:00:00,63.0,1033.0,271.59,light snow,30.0,3.0
2016-01-05 00:00:00,63.0,1033.0,271.118276759,overcast clouds,34.0,2.0
2016-01-05 01:00:00,63.0,1034.0,270.62,light snow,40.0,2.0
2016-01-05 02:00:00,81.0,1041.0,269.588394636,broken clouds,57.0,2.0
2016-01-05 03:00:00,63.0,1034.0,269.41,overcast clouds,80.0,2.0
2016-01-05 04:00:00,53.0,1035.0,268.19,broken clouds,120.0,1.0
2016-01-05 05:00:00,53.0,1035.0,268.18522556,broken clouds,120.0,1.0
2016-01-05 06:00:00,63.0,1034.0,266.65,broken clouds,110.0,2.0
2016-01-05 07:00:00,73.0,1035.0,265.82,sky is clear,140.0,2.0
2016-01-05 08:00:00,74.0,1035.0,265.873670201,sky is clear,141.0,2.0
2016-01-05 09:00:00,73.0,1035.0,265.99,sky is clear,140.0,2.0
2016-01-05 10:00:00,78.0,1034.0,265.985171726,sky is clear,154.0,2.0
2016-01-05 11:00:00,85.0,1034.0,265.98,sky is clear,170.0,3.0
2016-01-05 12:00:00,78.0,1034.0,265.6,sky is clear,170.0,3.0
2016-01-05 13:00:00,79.0,1035.0,265.56,few clouds,180.0,3.0
2016-01-05 14:00:00,85.0,1035.0,267.0,sky is clear,170.0,3.0
2016-01-05 15:00:00,73.0,1035.0,268.57,few clouds,180.0,4.0
2016-01-05 16:00:00,79.0,1034.0,270.84,haze,190.0,4.0
2016-01-05 17:00:00,79.0,1034.0,270.81268122299997,sky is clear,190.0,4.0
2016-01-05 18:00:00,100.0,1033.0,273.32,light snow,190.0,6.0
2016-01-05 19:00:00,51.0,1031.0,274.09,light snow,210.0,7.0
2016-01-05 20:00:00,59.0,1031.0,274.12,light snow,200.0,5.0
2016-01-05 21:00:00,71.0,1030.0,273.920934256,light rain,196.0,4.0
2016-01-05 22:00:00,100.0,1030.0,273.46,overcast clouds,190.0,4.0
2016-01-05 23:00:00,100.0,1037.0,272.031607367,scattered clouds,191.0,5.0
2016-01-06 00:00:00,74.0,1029.0,272.15,sky is clear,190.0,3.0
2016-01-06 01:00:00,76.0,1028.0,271.863653333,sky is clear,185.0,4.0
2016-01-06 02:00:00,79.0,1028.0,271.56,sky is clear,180.0,4.0
2016-01-06 03:00:00,63.0,1029.0,270.9,sky is clear,170.0,2.0
2016-01-06 04:00:00,63.0,1029.0,270.89835171,sky is clear,170.0,2.0
2016-01-06 05:00:00,63.0,1029.0,270.37,sky is clear,170.0,1.0
2016-01-06 06:00:00,68.0,1028.0,270.09,sky is clear,160.0,2.0
2016-01-06 07:00:00,68.0,1027.0,270.12,broken clouds,180.0,2.0
2016-01-06 08:00:00,68.0,1028.0,269.84,sky is clear,170.0,1.0
2016-01-06 09:00:00,68.0,1028.0,269.82,broken clouds,180.0,3.0
2016-01-06 10:00:00,85.0,1027.0,269.35,sky is clear,160.0,3.0
2016-01-06 11:00:00,68.0,1027.0,269.2,broken clouds,190.0,3.0
2016-01-06 12:00:00,85.0,1027.0,268.72,sky is clear,150.0,3.0
2016-01-06 13:00:00,73.0,1027.0,268.66,broken clouds,180.0,3.0
2016-01-06 14:00:00,80.0,1031.0,268.856829332,broken clouds,186.0,3.0
2016-01-06 15:00:00,79.0,1026.0,269.93,mist,160.0,3.0
2016-01-06 16:00:00,76.0,1026.0,271.289259705,light rain,168.0,3.0
2016-01-06 17:00:00,74.0,1026.0,273.01,light rain,180.0,3.0
2016-01-06 18:00:00,64.0,1024.0,275.11,light rain,220.0,5.0
2016-01-06 19:00:00,59.0,1023.0,275.58,light rain,210.0,4.0
2016-01-06 20:00:00,60.0,1023.0,275.517648298,light rain,209.0,4.0
2016-01-06 21:00:00,64.0,1023.0,275.59,light rain,200.0,3.0
2016-01-06 22:00:00,51.0,1023.0,275.24,light rain,190.0,3.0
2016-01-06 23:00:00,51.0,1023.0,275.238099917,light rain,189.0,3.0
2016-01-07 00:00:00,62.0,1022.0,275.06656443400004,light rain,180.0,3.0
2016-01-07 01:00:00,74.0,1022.0,274.89,overcast clouds,170.0,4.0
2016-01-07 02:00:00,86.0,1029.0,274.689925967,overcast clouds,178.0,4.0
2016-01-07 03:00:00,55.0,1023.0,274.99,overcast clouds,180.0,3.0
2016-01-07 04:00:00,55.0,1023.0,275.19,broken clouds,170.0,3.0
2016-01-07 05:00:00,55.0,1023.0,275.18039911799997,broken clouds,170.0,3.0
2016-01-07 06:00:00,55.0,1022.0,275.16,overcast clouds,190.0,4.0
2016-01-07 07:00:00,47.0,1022.0,274.98,light rain,160.0,1.0
2016-01-07 08:00:00,55.0,1021.0,274.89,light rain,190.0,3.0
2016-01-07 09:00:00,74.0,1020.0,274.64,overcast clouds,160.0,2.0
2016-01-07 10:00:00,59.0,1020.0,274.48,overcast clouds,150.0,3.0
2016-01-07 11:00:00,74.0,1020.0,274.55,overcast clouds,150.0,3.0
2016-01-07 12:00:00,74.0,1020.0,274.551485743,overcast clouds,150.0,3.0
2016-01-07 13:00:00,74.0,1020.0,274.58,overcast clouds,160.0,3.0
2016-01-07 14:00:00,86.0,1027.0,273.951971429,broken clouds,166.0,3.0
2016-01-07 15:00:00,74.0,1020.0,275.25,light rain,150.0,4.0
2016-01-07 16:00:00,69.0,1020.0,275.816155947,light rain,159.0,4.0
2016-01-07 17:00:00,64.0,1020.0,276.44,light rain,170.0,4.0
2016-01-07 18:00:00,52.0,1018.0,277.35,light rain,0.0,2.0
2016-01-07 19:00:00,64.0,1017.0,277.8,light rain,160.0,3.0
2016-01-07 20:00:00,65.0,1017.0,277.708039065,overcast clouds,159.0,3.0
2016-01-07 21:00:00,60.0,1017.0,277.99,light rain,170.0,3.0
2016-01-07 22:00:00,69.0,1016.0,277.22,light rain,120.0,2.0
2016-01-07 23:00:00,69.0,1016.0,277.19102461,overcast clouds,120.0,2.0
2016-01-08 00:00:00,69.0,1016.0,277.23,light rain,120.0,3.0
2016-01-08 01:00:00,69.0,1016.0,277.227250311,light rain,120.0,3.0
2016-01-08 02:00:00,84.0,1023.0,276.86062515599997,light rain,135.0,4.0
2016-01-08 03:00:00,69.0,1015.0,276.97,light rain,140.0,3.0
2016-01-08 04:00:00,74.0,1015.0,276.61,light rain,150.0,4.0
2016-01-08 05:00:00,74.0,1015.0,276.607105843,overcast clouds,149.0,4.0
2016-01-08 06:00:00,64.0,1014.0,276.61,light rain,140.0,2.0
2016-01-08 07:00:00,65.0,1014.0,276.57,drizzle,150.0,2.0
2016-01-08 08:00:00,67.0,1014.0,276.54562405400003,overcast clouds,149.0,2.0
2016-01-08 09:00:00,80.0,1012.0,276.31,mist,150.0,3.0
2016-01-08 10:00:00,86.0,1011.0,276.36,mist,130.0,3.0
2016-01-08 11:00:00,86.0,1011.0,276.51,mist,140.0,2.0
2016-01-08 12:00:00,88.0,1010.0,276.57928383,light rain,130.0,2.0
2016-01-08 13:00:00,93.0,1010.0,276.73,mist,110.0,3.0
2016-01-08 14:00:00,96.0,1017.0,276.517045359,light rain,129.0,3.0
2016-01-08 15:00:00,93.0,1009.0,276.97,mist,150.0,4.0
2016-01-08 16:00:00,93.0,1008.0,277.6,mist,140.0,4.0
2016-01-08 17:00:00,100.0,1008.0,278.25,drizzle,150.0,2.0
2016-01-08 18:00:00,100.0,1007.0,278.25289322599997,light rain,150.0,2.0
2016-01-08 19:00:00,100.0,1006.0,279.09,fog,160.0,3.0
2016-01-08 20:00:00,100.0,1007.0,278.96817427400003,moderate rain,160.0,3.0
2016-01-08 21:00:00,87.0,1006.0,278.98,fog,180.0,3.0
2016-01-08 22:00:00,87.0,1006.0,278.989823489,light rain,180.0,3.0
2016-01-08 23:00:00,87.0,1006.0,279.0,fog,180.0,3.0
2016-01-09 00:00:00,93.0,1006.0,278.88855832400003,light rain,180.0,2.0
2016-01-09 01:00:00,100.0,1006.0,278.77,light intensity drizzle,180.0,2.0
2016-01-09 02:00:00,100.0,1013.0,278.27586780400003,light rain,190.0,3.0
2016-01-09 03:00:00,93.0,1006.0,278.81,fog,290.0,2.0
2016-01-09 04:00:00,93.0,1007.0,278.74,mist,260.0,4.0
2016-01-09 05:00:00,93.0,1007.0,278.730969964,light rain,259.0,4.0
2016-01-09 06:00:00,93.0,1008.0,278.22,fog,220.0,1.0
2016-01-09 07:00:00,93.0,1007.0,277.9,fog,220.0,2.0
2016-01-09 08:00:00,87.0,1007.0,277.67,fog,260.0,4.0
2016-01-09 09:00:00,89.0,1007.0,277.509508342,overcast clouds,262.0,4.0
2016-01-09 10:00:00,100.0,1008.0,276.96,mist,270.0,3.0
2016-01-09 11:00:00,100.0,1013.0,276.580589061,light rain,264.0,3.0
2016-01-09 12:00:00,93.0,1009.0,276.45,light rain,260.0,3.0
2016-01-09 13:00:00,96.0,1009.0,276.205191404,overcast clouds,264.0,2.0
2016-01-09 14:00:00,100.0,1010.0,275.93,mist,270.0,1.0
2016-01-09 15:00:00,96.0,1010.0,276.031299435,overcast clouds,279.0,2.0
2016-01-09 16:00:00,93.0,1011.0,276.15,mist,290.0,2.0
2016-01-09 17:00:00,96.0,1017.0,275.989232092,light rain,298.0,2.0
2016-01-09 18:00:00,86.0,1011.0,276.15,mist,270.0,2.0
