Latitude,Longitude,Type
41.941562,-87.664011,Pub
41.939824,-87.663895,Asian Restaurant
41.935361,-87.662638,Steakhouse
41.919532,-87.677331,Bar
41.938006,-87.671027,Bar
41.893317,-87.630763,Steakhouse
41.903932,-87.629129,Nightclub
41.893575,-87.622815,Italian Restaurant
41.883210,-87.628228,New American Restaurant
41.940341,-87.669183,Bar
41.870677,-87.624309,Sushi Restaurant
41.934409,-87.646246,Salon / Barbershop
41.954299,-87.674490,Cuban Restaurant
41.896849,-87.625524,American Restaurant
41.953464,-87.668847,Bar
41.954522,-87.669727,Bar
41.915973,-87.669939,American Restaurant
41.918354,-87.653318,Sushi Restaurant
41.891224,-87.656972,Bar
41.954214,-87.675591,Dive Bar
41.950053,-87.658886,Dive Bar
41.705663,-87.718573,American Restaurant
41.691476,-87.702696,Dive Bar
41.947284,-87.661694,Bar
41.698918,-87.720626,Bar
41.899680,-87.673410,Bar
41.951991,-87.677178,Rock Club
41.949825,-87.658679,Music Venue
41.950065,-87.649486,Sports Bar
41.948504,-87.649411,Cocktail Bar
41.895937,-87.682606,Nightclub
41.961515,-87.675534,Gay Bar
41.907000,-87.672139,Piano Bar
41.949837,-87.658660,Nightclub
41.909878,-87.677349,Music Venue
41.910548,-87.660928,Rock Club
41.903150,-87.672048,Bar
41.901306,-87.674364,Bar
41.949278,-87.658356,Bar
41.931533,-87.648900,Bar
41.913463,-87.662426,Bar
41.918792,-87.648630,Sports Bar
41.944706,-87.649377,Gay Bar
41.901331,-87.676028,Bar
41.942697,-87.644569,Gay Bar
41.927085,-87.663635,Dive Bar
41.943492,-87.649178,Gay Bar
41.944838,-87.654185,Bar
41.934126,-87.660875,Rock Club
41.915828,-87.676295,Pub
41.945421,-87.655143,Rock Club
41.917798,-87.671694,Bar
41.936842,-87.644440,Bar
41.895763,-87.654982,Bar
41.794515,-87.620072,Lounge
41.932220,-87.658226,Whisky Bar
41.933274,-87.649218,Bar
41.920035,-87.641351,Pub
41.927980,-87.641856,Bar
41.941624,-87.658867,Sports Bar
41.777105,-87.761562,Sports Bar
41.945351,-87.649612,Gay Bar
41.918267,-87.638575,Bar
41.902743,-87.677283,Dive Bar
41.797957,-87.748200,Dive Bar
41.890276,-87.647869,Nightclub
41.921801,-87.648801,Bar
41.778167,-87.762767,Nightclub
41.943768,-87.645191,Dive Bar
41.788281,-87.741998,Airport Food Court
41.935599,-87.647402,Dive Bar
41.947312,-87.647093,Bar
41.881188,-87.630175,Italian Restaurant
41.943349,-87.664290,Bar
41.878791,-87.625866,Pub
41.932372,-87.648871,Pub
41.927538,-87.651458,Bar
41.873115,-87.626113,Jazz Club
41.936385,-87.664160,Bar
41.923741,-87.646294,Bar
41.873715,-87.629313,Bar
41.891240,-87.658631,Burger Joint
41.945540,-87.649305,Gay Bar
41.872055,-87.624275,Pub
41.939820,-87.649150,Gay Bar
41.921703,-87.652942,Pub
41.923316,-87.645821,Bar
41.777869,-87.773757,Dive Bar
41.876865,-87.630954,Dive Bar
41.918163,-87.652904,Bar
41.903306,-87.671413,Dive Bar
41.937153,-87.644154,Bar
41.873189,-87.627452,Bar
41.928645,-87.649059,Music Venue
41.909861,-87.652195,Nightclub
41.869290,-87.627246,Lounge
41.925111,-87.669911,Dive Bar
41.944779,-87.654124,Dive Bar
41.927555,-87.651646,Bar
41.939916,-87.654422,Bar
41.883593,-87.635645,Dive Bar
41.921723,-87.656112,Pub
41.936477,-87.648947,Dive Bar
41.885570,-87.634292,Pub
41.877903,-87.649791,Bar
41.928830,-87.662197,Bar
41.917520,-87.648754,Gay Bar
41.918216,-87.648423,Bar
41.943583,-87.649400,Gay Bar
41.939729,-87.663457,Music Venue
41.948767,-87.658019,Bar
41.941589,-87.654371,Bar
41.934352,-87.666115,Dive Bar
41.943262,-87.649218,Gay Bar
41.869530,-87.652750,Bar
41.918477,-87.637495,Music Venue
41.946654,-87.656271,Sports Bar
41.940136,-87.649387,Gay Bar
41.927044,-87.668330,Bar
41.943053,-87.649484,Pub
41.924606,-87.639860,Dive Bar
41.937340,-87.659122,Sports Bar
41.918182,-87.639849,Bar
41.997803,-87.687057,Bar
41.839205,-87.654382,Bar
41.930223,-87.655514,Bar
41.911548,-87.634951,Comedy Club
41.968239,-87.727091,Strip Club
41.830767,-87.651054,Liquor Store
41.975984,-87.687078,Bar
41.983459,-87.670082,Bar
41.964669,-87.686120,Bar
41.917972,-87.653311,Mexican Restaurant
41.970505,-87.679097,Dive Bar
41.966437,-87.687117,Bar
41.978801,-87.692816,Karaoke Bar
41.994560,-87.659801,Gay Bar
41.921779,-87.666296,Wine Bar
41.925448,-87.675491,General Entertainment
41.970552,-87.690111,Bowling Alley
